category,district,year
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,TENDERLOIN,2015
VEHICLE THEFT,TENDERLOIN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,TENDERLOIN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,TENDERLOIN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
PROSTITUTION,MISSION,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
PROSTITUTION,MISSION,2015
PROSTITUTION,BAYVIEW,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,INGLESIDE,2015
PROSTITUTION,MISSION,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,PARK,2015
PROSTITUTION,TARAVAL,2015
PROSTITUTION,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,RICHMOND,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,INGLESIDE,2015
PROSTITUTION,INGLESIDE,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,CENTRAL,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,MISSION,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,SOUTHERN,2015
VEHICLE THEFT,INGLESIDE,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,PARK,2015
VEHICLE THEFT,NORTHERN,2015
VEHICLE THEFT,TARAVAL,2015
VEHICLE THEFT,BAYVIEW,2015
VEHICLE THEFT,BAYVIEW,2015
